Router NO	Connection_Id	Interface_IN	Label_In	Interface_Out	Label_Out
0 	 	1		8		 102		-1		-1 
0 	 	4		1		 101		9		102 
0 	 	13		9		 102		-1		-1 
0 	 	32		-1		 -1		9		104 
0 	 	50		8		 107		-1		-1 
1 	 	4		2		 102		0		101 
2 	 	3		-1		 -1		8		101 
2 	 	4		-1		 -1		1		102 
2 	 	24		3		 101		-1		-1 
3 	 	24		-1		 -1		2		101 
4 	 	2		5		 101		-1		-1 
5 	 	2		6		 102		4		101 
6 	 	2		7		 101		5		102 
7 	 	2		14		 102		6		101 
7 	 	5		14		 104		-1		-1 
7 	 	28		8		 106		-1		-1 
7 	 	33		-1		 -1		13		104 
7 	 	38		-1		 -1		13		105 
8 	 	1		14		 101		0		102 
8 	 	3		2		 101		11		103 
8 	 	23		9		 103		-1		-1 
8 	 	28		11		 105		7		106 
8 	 	50		14		 108		0		107 
8 	 	56		9		 107		14		108 
9 	 	4		0		 102		12		101 
9 	 	13		-1		 -1		0		102 
9 	 	23		10		 101		8		103 
9 	 	32		0		 104		10		105 
9 	 	39		-1		 -1		10		106 
9 	 	56		-1		 -1		8		107 
9 	 	67		10		 104		-1		-1 
10 	 	23		-1		 -1		9		101 
10 	 	32		9		 105		-1		-1 
10 	 	39		9		 106		15		103 
10 	 	67		15		 110		9		104 
10 	 	96		11		 107		-1		-1 
11 	 	3		8		 103		-1		-1 
11 	 	12		-1		 -1		17		102 
11 	 	15		-1		 -1		17		103 
11 	 	16		-1		 -1		17		104 
11 	 	28		-1		 -1		8		105 
11 	 	94		-1		 -1		17		106 
11 	 	96		17		 113		10		107 
12 	 	4		9		 101		17		102 
12 	 	5		-1		 -1		14		103 
12 	 	14		17		 105		-1		-1 
12 	 	35		-1		 -1		17		105 
12 	 	37		-1		 -1		17		106 
13 	 	33		7		 104		14		101 
13 	 	38		7		 105		19		102 
13 	 	47		-1		 -1		19		103 
14 	 	1		18		 102		8		101 
14 	 	2		19		 101		7		102 
14 	 	5		12		 103		7		104 
14 	 	6		-1		 -1		17		105 
14 	 	7		-1		 -1		19		106 
14 	 	33		13		 101		-1		-1 
14 	 	50		-1		 -1		8		108 
14 	 	56		8		 108		-1		-1 
14 	 	90		-1		 -1		19		110 
14 	 	94		17		 111		-1		-1 
15 	 	11		17		 103		-1		-1 
15 	 	16		17		 107		-1		-1 
15 	 	26		-1		 -1		18		103 
15 	 	37		17		 110		-1		-1 
15 	 	39		10		 103		-1		-1 
15 	 	47		18		 106		-1		-1 
15 	 	57		18		 108		-1		-1 
15 	 	67		18		 109		10		110 
15 	 	86		18		 111		-1		-1 
16 	 	6		17		 102		-1		-1 
17 	 	4		12		 102		18		101 
17 	 	6		14		 105		16		102 
17 	 	11		-1		 -1		15		103 
17 	 	12		11		 102		22		104 
17 	 	14		22		 102		12		105 
17 	 	15		11		 103		-1		-1 
17 	 	16		11		 104		15		107 
17 	 	19		22		 104		-1		-1 
17 	 	35		12		 105		22		109 
17 	 	37		12		 106		15		110 
17 	 	94		11		 106		14		111 
17 	 	96		18		 112		11		113 
18 	 	1		21		 101		14		102 
18 	 	4		17		 101		20		103 
18 	 	26		15		 103		21		104 
18 	 	38		19		 103		20		105 
18 	 	47		19		 104		15		106 
18 	 	54		23		 101		-1		-1 
18 	 	57		20		 103		15		108 
18 	 	67		-1		 -1		15		109 
18 	 	81		-1		 -1		20		110 
18 	 	86		21		 106		15		111 
18 	 	96		-1		 -1		17		112 
18 	 	99		21		 107		-1		-1 
19 	 	2		-1		 -1		14		101 
19 	 	7		14		 106		-1		-1 
19 	 	38		13		 102		18		103 
19 	 	47		13		 103		18		104 
19 	 	90		14		 110		20		105 
20 	 	4		18		 103		-1		-1 
20 	 	38		18		 105		-1		-1 
20 	 	57		-1		 -1		18		103 
20 	 	81		18		 110		-1		-1 
20 	 	90		19		 105		-1		-1 
21 	 	1		-1		 -1		18		101 
21 	 	12		22		 101		-1		-1 
21 	 	19		-1		 -1		22		103 
21 	 	26		18		 104		-1		-1 
21 	 	86		-1		 -1		18		106 
21 	 	99		-1		 -1		18		107 
22 	 	12		17		 104		21		101 
22 	 	14		-1		 -1		17		102 
22 	 	19		21		 103		17		104 
22 	 	35		17		 109		-1		-1 
23 	 	54		-1		 -1		18		101 
